OBJECTID,SUBCOUNTY_NAME,DISTRICT_NAME,POP,Area,S_Yield_Ha,M_Yield_Ha,Crop_Area_Ha,S_Area_Ha,M_Area_Ha,S_Prod_Tot,M_Prod_Tot,S_Prod_Per_Capita,M_Prod_Per_Capita,Land_Use_Efficiency,DPOP,DArea,DCrop_Area_Ha,District Yield,District Crop Area,District Prod
766,ABIM TOWN COUNCIL,ABIM,11489,115941152,439.7509955,1061.151087,788.4628001,472.6017001,282.61309389999997,207827.0681,299895.1917,18.089221699016452,26.102810662372708,0.0006800543090170434,90385,2771977106,5470.068394,1489,5125.917826,3394073
767,ALEREK,ABIM,12573,1255760525,520.4076722,1259.1220449999998,1266.109868,902.6841196,354.4490355,469763.7415,446294.5944,37.3628999840929,35.49626933905989,0.00010082414941336048,90385,2771977106,5470.068394,1489,5125.917826,3394073
768,LOTUKEI,ABIM,18641,191684465,382.8689859,1003.30391,698.1712182,364.988891,321.8473311,139742.9265,322910.6857,7.496535942277775,17.3226053162384,0.00036422942161744824,90385,2771977106,5470.068394,1489,5125.917826,3394073
769,MORULEM,ABIM,16834,250364895,407.50041650000003,962.9581695,925.0541302000001,600.6731069,299.1517243,244774.5413,288070.5968,14.540485998574315,17.112427040513246,0.00036948236301259413,90385,2771977106,5470.068394,1489,5125.917826,3394073
810,KARITA,AMUDAT,45015,658008801,193.9048415,1286.723173,2513.27183,1358.647499,1100.15237,263448.328,1415591.549,5.852456470065533,31.44710760857492,0.00038195109642614035,101790,1643582836,5765.443719,1502,5707.084874,4155110
811,LOROO,AMUDAT,22541,371970302,200.6962102,1196.08804,1539.401382,879.6680039999999,658.9176121,176546.0347,788123.4753,7.8322183887138985,34.963997839492485,0.00041385061488053955,101790,1643582836,5765.443719,1502,5707.084874,4155110
812,AMUDAT,AMUDAT,30181,596393139,239.0478779,1379.0459449999998,1651.99842,676.7832664,972.1742458999998,161783.6037,1340672.952,5.36044543587025,44.4210911500613,0.00027699822683573827,101790,1643582836,5765.443719,1502,5707.084874,4155110
813,AMUDAT TOWN COUNCIL,AMUDAT,4053,17207110,146.1177968,861.2084912,60.77208552,58.32509019,2.416785505,8522.333678,2081.356199,2.1027223483839133,0.5135347147791759,0.00035318008381419075,101790,1643582836,5765.443719,1502,5707.084874,4155110
925,KATIKEKILE,MOROTO,11772,277451997,311.0062152,546.1402942000001,145.243518,30.15704817,103.27756219999999,9379.029413,56404.03821,0.7967235315154604,4.791372596839959,5.234906202531316e-05,127811,3570160948,5954.814047999999,483,5931.799381999999,1029412
926,NADUNGET,MOROTO,42115,596023780,133.6679356,591.2703552999999,2480.1219,2406.1906649999996,70.50569361,321630.539,41687.926510000005,7.636959254422415,0.9898593496378963,0.00041611123301154196,127811,3570160948,5954.814047999999,483,5931.799381999999,1029412
927,TAPAC,MOROTO,21999,622266516,155.8699345,211.96563540000002,1111.664207,315.979223,793.2370943,49251.66081,168139.0047,2.2388136192554207,7.643029442247374,0.00017864760169740516,127811,3570160948,5954.814047999999,483,5931.799381999999,1029412
